"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","3039"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-374.8146481424097"
">","EXTENTS_TOP:","-208.5408743297658"
">","EXTENTS_RIGHT:","374.8146481424097"
">","EXTENTS_BOTTOM:","208.54087432976578"
">","EXTENTS_WIDTH:","749.6292962848194"
">","EXTENTS_HEIGHT:","417.0817486595316"
">","COMMAND_JUMP","4"
">","COMMAND_STITCH","3034"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","name","BN"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#000000","Black","Anchor","403","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","-367.6178881777824","-143.95301031260823"
"*","1","STITCH","-367.6178881777824","-143.95301031260823"
"*","2","STITCH","-362.51616388670334","-149.45050149111995"
"*","3","STITCH","-357.4144395956243","-154.94799266963167"
"*","4","STITCH","-362.51616388670334","-149.45050149111995"
"*","5","STITCH","-367.6178881777824","-143.95301031260823"
"*","6","STITCH","-351.3277309631321","-161.50687847061633"
"*","7","STITCH","-327.7144522312816","-165.49693624940542"
"*","8","STITCH","-303.8465757257129","-166.11846745903964"
"*","9","STITCH","-279.9718273331908","-166.11846745903964"
"*","10","STITCH","-256.09707946983536","-166.11846745903964"
"*","11","STITCH","-232.2223322679383","-166.11846745903964"
"*","12","STITCH","-208.34758594798564","-166.11846745903964"
"*","13","STITCH","-186.2306293608706","-173.1039751923676"
"*","14","STITCH","-170.32964369370913","-180.4663717991438"
"*","15","STITCH","-165.11788817778233","-177.7481754462604"
"*","16","STITCH","-165.11788817778233","-189.10871410382262"
"*","17","STITCH","-172.61788817778233","-185.2960169452617"
"*","18","STITCH","-172.61788817778233","-166.0016991866064"
"*","19","STITCH","-180.1178881777823","-157.80977977042184"
"*","20","STITCH","-180.1178881777823","-182.0220297092633"
"*","21","STITCH","-187.59326933269887","-180.3391561571783"
"*","22","STITCH","-187.61788817778233","-171.0448743302325"
"*","23","STITCH","-187.61788817778233","-151.4798440847971"
"*","24","STITCH","-195.11788817778236","-146.3434485137638"
"*","25","STITCH","-195.11788817778236","-158.5448743302325"
"*","26","STITCH","-195.11788817778236","-180.23432509408335"
"*","27","STITCH","-202.59553928507762","-181.21704066140708"
"*","28","STITCH","-202.61788817778233","-146.04487433023246"
"*","29","STITCH","-202.61788817778233","-142.07890347425902"
"*","30","STITCH","-210.11788817778233","-138.50749411840667"
"*","31","STITCH","-210.11788817778233","-182.89589186986044"
"*","32","STITCH","-217.61788817778236","-184.91560146045373"
"*","33","STITCH","-217.61788817778236","-171.0448743302325"
"*","34","STITCH","-217.61788817778236","-135.5349643491691"
"*","35","STITCH","-225.11788817778236","-133.43477778327303"
"*","36","STITCH","-225.11788817778236","-158.5448743302325"
"*","37","STITCH","-225.11788817778236","-186.935311051047"
"*","38","STITCH","-232.59734150332844","-189.0330991293033"
"*","39","STITCH","-232.61788817778236","-146.04487433023246"
"*","40","STITCH","-232.61788817778236","-131.80919581142447"
"*","41","STITCH","-240.11788817778233","-130.59671195408274"
"*","42","STITCH","-240.11788817778233","-133.54487433023252"
"*","43","STITCH","-240.11788817778233","-183.5448743302325"
"*","44","STITCH","-240.11788817778233","-191.19689972839262"
"*","45","STITCH","-247.61788817778233","-193.35478866860876"
"*","46","STITCH","-247.61788817778233","-171.0448743302325"
"*","47","STITCH","-247.61788817778233","-130.32929087710804"
"*","48","STITCH","-255.11788817778233","-130.79520545411083"
"*","49","STITCH","-255.11788817778233","-158.5448743302325"
"*","50","STITCH","-255.11788817778233","-195.32286019994277"
"*","51","STITCH","-262.61788817778233","-197.25361048563553"
"*","52","STITCH","-262.61788817778233","-196.0448743302325"
"*","53","STITCH","-262.61788817778233","-146.0448743302325"
"*","54","STITCH","-262.61788817778233","-131.35725602481173"
"*","55","STITCH","-270.11788817778233","-132.10372544226445"
"*","56","STITCH","-270.11788817778233","-133.54487433023246"
"*","57","STITCH","-270.11788817778233","-183.5448743302325"
"*","58","STITCH","-270.11788817778233","-198.7640504355012"
"*","59","STITCH","-277.61788817778233","-200.00010236849963"
"*","60","STITCH","-277.61788817778233","-171.0448743302325"
"*","61","STITCH","-277.61788817778233","-133.2795429827499"
"*","62","STITCH","-285.11788817778233","-134.65668570909645"
"*","63","STITCH","-285.11788817778233","-158.5448743302325"
"*","64","STITCH","-285.11788817778233","-200.8892092037683"
"*","65","STITCH","-292.61788817778233","-201.3943968281964"
"*","66","STITCH","-292.61788817778233","-196.0448743302325"
"*","67","STITCH","-292.61788817778233","-146.0448743302325"
"*","68","STITCH","-292.61788817778233","-136.47902950074393"
"*","69","STITCH","-300.11788817778233","-138.44325077633044"
"*","70","STITCH","-300.11788817778233","-183.5448743302325"
"*","71","STITCH","-300.11788817778233","-201.40983046924893"
"*","72","STITCH","-307.61788817778233","-200.8338123423851"
"*","73","STITCH","-307.61788817778233","-171.0448743302325"
"*","74","STITCH","-307.61788817778233","-140.66724772442336"
"*","75","STITCH","-315.11788817778233","-142.89817229929005"
"*","76","STITCH","-315.11788817778233","-158.5448743302325"
"*","77","STITCH","-315.11788817778233","-199.57674433433831"
"*","78","STITCH","-322.61788817778233","-197.5740051658485"
"*","79","STITCH","-322.61788817778233","-196.0448743302325"
"*","80","STITCH","-322.61788817778233","-146.0448743302325"
"*","81","STITCH","-330.09677007196825","-147.2625084277321"
"*","82","STITCH","-330.11788817778233","-183.5448743302325"
"*","83","STITCH","-330.11788817778233","-194.79883211227445"
"*","84","STITCH","-337.6178881777824","-191.13438220291295"
"*","85","STITCH","-337.6178881777824","-171.0448743302325"
"*","86","STITCH","-337.6178881777824","-149.13993517314628"
"*","87","STITCH","-345.0924416427476","-149.85121600351331"
"*","88","STITCH","-345.1178881777824","-158.5448743302325"
"*","89","STITCH","-345.1178881777824","-186.53969503421618"
"*","90","STITCH","-352.6178881777824","-180.8270176607412"
"*","91","STITCH","-352.6178881777824","-149.43513105130603"
"*","92","STITCH","-360.0989479214264","-147.6406508993952"
"*","93","STITCH","-360.1178881777824","-173.72670961580712"
"*","94","STITCH","-367.6178881777824","-164.30528474193545"
"*","95","STITCH","-367.6178881777824","-143.95301031260823"
"*","96","STITCH","-365.7303038578433","-153.34330153538684"
"*","97","STITCH","-348.44106102536847","-164.8262190696782"
"*","98","STITCH","-332.6377231578987","-170.85371799836287"
"*","99","STITCH","-307.4323227008765","-173.10494509691537"
"*","100","STITCH","-285.8540639729286","-168.51268573630082"
"*","101","STITCH","-264.6689240495691","-164.22197108852126"
"*","102","STITCH","-285.5877928111878","-170.7348478083312"
"*","103","STITCH","-242.35730872615946","-160.62417980753008"
"*","104","STITCH","-274.7830277457956","-163.23826671221244"
"*","105","STITCH","-304.9250249767837","-173.41139296694095"
"*","106","STITCH","-267.5430380607031","-170.1248861754237"
"*","107","STITCH","-231.5269022412019","-160.18153056600573"
"*","108","STITCH","-265.1955619483044","-159.2496828142683"
"*","109","STITCH","-291.0616091220179","-164.44326660337427"
"*","110","STITCH","-315.4124323683753","-173.63487506067432"
"*","111","STITCH","-281.4722850973338","-175.28197557840525"
"*","112","STITCH","-251.8437063390851","-168.5564325895046"
"*","113","STITCH","-222.61973039184957","-160.3719402182088"
"*","114","STITCH","-254.68615722628815","-155.81687873763929"
"*","115","STITCH","-289.9107092250863","-161.54864505487498"
"*","116","STITCH","-323.31349507461795","-173.14242176973175"
"*","117","STITCH","-293.1412033372581","-178.88090203900765"
"*","118","STITCH","-253.6488724258948","-171.6772325389275"
"*","119","STITCH","-215.07423034619532","-160.92904075056776"
"*","120","STITCH","-249.14233578945243","-152.96749963120396"
"*","121","STITCH","-290.77322271471996","-159.1854775031037"
"*","122","STITCH","-330.5142082460216","-172.16851689576612"
"*","123","STITCH","-300.3785454852612","-181.35779741895342"
"*","124","STITCH","-253.53435642191891","-174.24570438802547"
"*","125","STITCH","-208.01925948556072","-161.87904060733308"
"*","126","STITCH","-242.25255331484203","-150.51128081064175"
"*","127","STITCH","-290.6758694774598","-156.58908232859056"
"*","128","STITCH","-337.0520601880384","-170.8406786748095"
"*","129","STITCH","-306.907845626833","-183.26973433003644"
"*","130","STITCH","-270.9523154808571","-181.098439810444"
"*","131","STITCH","-236.22235620102967","-171.8661414382943"
"*","132","STITCH","-201.38485366688266","-163.20103993887759"
"*","133","STITCH","-235.49719108297322","-149.07092460746492"
"*","134","STITCH","-272.4151677970485","-150.13603607155719"
"*","135","STITCH","-308.14180131360115","-159.09759261353977"
"*","136","STITCH","-343.49840408497994","-168.90677000878546"
"*","137","STITCH","-313.7173624963845","-184.53111142574676"
"*","138","STITCH","-274.29247629995035","-184.29489631367036"
"*","139","STITCH","-234.56735698616671","-173.9913877296107"
"*","140","STITCH","-194.61082617954298","-165.1528191698662"
"*","141","STITCH","-227.93236186622084","-148.17510222934885"
"*","142","STITCH","-262.5034108154367","-146.4199746350973"
"*","143","STITCH","-306.40038593690485","-155.97017814374095"
"*","144","STITCH","-349.82521505139727","-166.3934794170621"
"*","145","STITCH","-320.993492780973","-184.92944619339826"
"*","146","STITCH","-286.52907801931565","-188.46897423678286"
"*","147","STITCH","-253.42101270755364","-181.97847225886628"
"*","148","STITCH","-220.96178913807566","-172.87078077190532"
